證券代碼,年月日,收盤價(元),收盤價
TX201003 台指 2010/03,2009/11/13,,"7,563"
TX201006 台指 2010/06,2009/11/13,,"7,499"
TX201009 台指 2010/09,2009/11/13,,"7,241"
Y9999 加權指數,2009/11/12,"7,670.93",
TX200911 台指 2009/11,2009/11/12,,"7,686"
TX200912 台指 2009/12,2009/11/12,,"7,658"
TX201003 台指 2010/03,2009/11/12,,"7,565"
TX201006 台指 2010/06,2009/11/12,,"7,509"
TX201009 台指 2010/09,2009/11/12,,"7,245"
Y9999 加權指數,2009/11/11,"7,668.06",
TX200911 台指 2009/11,2009/11/11,,"7,681"
TX200912 台指 2009/12,2009/11/11,,"7,653"
TX201003 台指 2010/03,2009/11/11,,"7,563"
TX201006 台指 2010/06,2009/11/11,,"7,507"
TX201009 台指 2010/09,2009/11/11,,"7,253"
Y9999 加權指數,2009/11/10,"7,593.49",
TX200911 台指 2009/11,2009/11/10,,"7,589"
TX200912 台指 2009/12,2009/11/10,,"7,561"
TX201003 台指 2010/03,2009/11/10,,"7,483"
TX201006 台指 2010/06,2009/11/10,,"7,418"
TX201009 台指 2010/09,2009/11/10,,"7,170"
Y9999 加權指數,2009/11/9,"7,536.70",
TX200911 台指 2009/11,2009/11/9,,"7,549"
TX200912 台指 2009/12,2009/11/9,,"7,521"
TX201003 台指 2010/03,2009/11/9,,"7,429"
TX201006 台指 2010/06,2009/11/9,,"7,373"
TX201009 台指 2010/09,2009/11/9,,"7,118"
Y9999 加權指數,2009/11/6,"7,463.05",
TX200911 台指 2009/11,2009/11/6,,"7,478"
TX200912 台指 2009/12,2009/11/6,,"7,446"
TX201003 台指 2010/03,2009/11/6,,"7,355"
TX201006 台指 2010/06,2009/11/6,,"7,309"
TX201009 台指 2010/09,2009/11/6,,"7,049"
Y9999 加權指數,2009/11/5,"7,417.46",
TX200911 台指 2009/11,2009/11/5,,"7,409"
TX200912 台指 2009/12,2009/11/5,,"7,376"
TX201003 台指 2010/03,2009/11/5,,"7,282"
TX201006 台指 2010/06,2009/11/5,,"7,242"
TX201009 台指 2010/09,2009/11/5,,"6,989"
Y9999 加權指數,2009/11/4,"7,467.04",
TX200911 台指 2009/11,2009/11/4,,"7,439"
TX200912 台指 2009/12,2009/11/4,,"7,411"
TX201003 台指 2010/03,2009/11/4,,"7,318"
TX201006 台指 2010/06,2009/11/4,,"7,276"
TX201009 台指 2010/09,2009/11/4,,"7,024"
Y9999 加權指數,2009/11/3,"7,322.93",
TX200911 台指 2009/11,2009/11/3,,"7,274"
TX200912 台指 2009/12,2009/11/3,,"7,248"
TX201003 台指 2010/03,2009/11/3,,"7,166"
TX201006 台指 2010/06,2009/11/3,,"7,117"
TX201009 台指 2010/09,2009/11/3,,"6,880"
Y9999 加權指數,2009/11/2,"7,335.18",
TX200911 台指 2009/11,2009/11/2,,"7,278"
TX200912 台指 2009/12,2009/11/2,,"7,249"
TX201003 台指 2010/03,2009/11/2,,"7,164"
TX201006 台指 2010/06,2009/11/2,,"7,116"
TX201009 台指 2010/09,2009/11/2,,"6,881"
Y9999 加權指數,2009/10/30,"7,340.08",
TX200911 台指 2009/11,2009/10/30,,"7,285"
TX200912 台指 2009/12,2009/10/30,,"7,253"
TX201003 台指 2010/03,2009/10/30,,"7,187"
TX201006 台指 2010/06,2009/10/30,,"7,136"
TX201009 台指 2010/09,2009/10/30,,"6,903"
Y9999 加權指數,2009/10/29,"7,355.69",
TX200911 台指 2009/11,2009/10/29,,"7,322"
TX200912 台指 2009/12,2009/10/29,,"7,295"
TX201003 台指 2010/03,2009/10/29,,"7,208"
TX201006 台指 2010/06,2009/10/29,,"7,166"
TX201009 台指 2010/09,2009/10/29,,"6,938"
Y9999 加權指數,2009/10/28,"7,533.95",
TX200911 台指 2009/11,2009/10/28,,"7,508"
TX200912 台指 2009/12,2009/10/28,,"7,478"
TX201003 台指 2010/03,2009/10/28,,"7,388"
TX201006 台指 2010/06,2009/10/28,,"7,340"
TX201009 台指 2010/09,2009/10/28,,"7,116"
Y9999 加權指數,2009/10/27,"7,657.34",
TX200911 台指 2009/11,2009/10/27,,"7,644"
TX200912 台指 2009/12,2009/10/27,,"7,615"
TX201003 台指 2010/03,2009/10/27,,"7,510"
TX201006 台指 2010/06,2009/10/27,,"7,473"
TX201009 台指 2010/09,2009/10/27,,"7,244"
Y9999 加權指數,2009/10/26,"7,668.40",
TX200911 台指 2009/11,2009/10/26,,"7,643"
TX200912 台指 2009/12,2009/10/26,,"7,612"
TX201003 台指 2010/03,2009/10/26,,"7,523"
TX201006 台指 2010/06,2009/10/26,,"7,484"
TX201009 台指 2010/09,2009/10/26,,"7,254"
Y9999 加權指數,2009/10/23,"7,649.28",
TX200911 台指 2009/11,2009/10/23,,"7,596"
TX200912 台指 2009/12,2009/10/23,,"7,569"
TX201003 台指 2010/03,2009/10/23,,"7,506"
TX201006 台指 2010/06,2009/10/23,,"7,469"
TX201009 台指 2010/09,2009/10/23,,"7,239"
Y9999 加權指數,2009/10/22,"7,607.93",
TX200911 台指 2009/11,2009/10/22,,"7,573"
TX200912 台指 2009/12,2009/10/22,,"7,540"
TX201003 台指 2010/03,2009/10/22,,"7,470"
TX201006 台指 2010/06,2009/10/22,,"7,433"
TX201009 台指 2010/09,2009/10/22,,"7,222"
Y9999 加權指數,2009/10/21,"7,701.50",
TX200910 台指 2009/10,2009/10/21,,"7,706"
TX200911 台指 2009/11,2009/10/21,,"7,650"
TX200912 台指 2009/12,2009/10/21,,"7,625"
TX201003 台指 2010/03,2009/10/21,,"7,564"
TX201006 台指 2010/06,2009/10/21,,"7,515"
Y9999 加權指數,2009/10/20,"7,753.52",
TX200910 台指 2009/10,2009/10/20,,"7,752"
TX200911 台指 2009/11,2009/10/20,,"7,722"
TX200912 台指 2009/12,2009/10/20,,"7,689"
TX201003 台指 2010/03,2009/10/20,,"7,635"
TX201006 台指 2010/06,2009/10/20,,"7,595"
Y9999 加權指數,2009/10/19,"7,751.32",
TX200910 台指 2009/10,2009/10/19,,"7,753"
TX200911 台指 2009/11,2009/10/19,,"7,725"
TX200912 台指 2009/12,2009/10/19,,"7,699"
TX201003 台指 2010/03,2009/10/19,,"7,639"
TX201006 台指 2010/06,2009/10/19,,"7,597"
Y9999 加權指數,2009/10/16,"7,715.10",
TX200910 台指 2009/10,2009/10/16,,"7,694"
TX200911 台指 2009/11,2009/10/16,,"7,669"
TX200912 台指 2009/12,2009/10/16,,"7,650"
TX201003 台指 2010/03,2009/10/16,,"7,591"
TX201006 台指 2010/06,2009/10/16,,"7,549"
Y9999 加權指數,2009/10/15,"7,710.40",
TX200910 台指 2009/10,2009/10/15,,"7,710"
TX200911 台指 2009/11,2009/10/15,,"7,680"
TX200912 台指 2009/12,2009/10/15,,"7,652"
TX201003 台指 2010/03,2009/10/15,,"7,596"
TX201006 台指 2010/06,2009/10/15,,"7,563"
Y9999 加權指數,2009/10/14,"7,695.75",
TX200910 台指 2009/10,2009/10/14,,"7,699"
TX200911 台指 2009/11,2009/10/14,,"7,669"
TX200912 台指 2009/12,2009/10/14,,"7,641"
TX201003 台指 2010/03,2009/10/14,,"7,580"
TX201006 台指 2010/06,2009/10/14,,"7,535"
Y9999 加權指數,2009/10/13,"7,596.60",
TX200910 台指 2009/10,2009/10/13,,"7,561"
TX200911 台指 2009/11,2009/10/13,,"7,536"
TX200912 台指 2009/12,2009/10/13,,"7,518"
TX201003 台指 2010/03,2009/10/13,,"7,471"
TX201006 台指 2010/06,2009/10/13,,"7,420"
Y9999 加權指數,2009/10/12,"7,599.88",
TX200910 台指 2009/10,2009/10/12,,"7,576"
TX200911 台指 2009/11,2009/10/12,,"7,550"
TX200912 台指 2009/12,2009/10/12,,"7,527"
TX201003 台指 2010/03,2009/10/12,,"7,478"
TX201006 台指 2010/06,2009/10/12,,"7,436"
Y9999 加權指數,2009/10/9,"7,571.96",
TX200910 台指 2009/10,2009/10/9,,"7,552"
TX200911 台指 2009/11,2009/10/9,,"7,526"
TX200912 台指 2009/12,2009/10/9,,"7,499"
TX201003 台指 2010/03,2009/10/9,,"7,431"
TX201006 台指 2010/06,2009/10/9,,"7,388"
Y9999 加權指數,2009/10/8,"7,503.31",
TX200910 台指 2009/10,2009/10/8,,"7,481"
TX200911 台指 2009/11,2009/10/8,,"7,455"
TX200912 台指 2009/12,2009/10/8,,"7,430"
TX201003 台指 2010/03,2009/10/8,,"7,378"
TX201006 台指 2010/06,2009/10/8,,"7,325"
Y9999 加權指數,2009/10/7,"7,608.66",
TX200910 台指 2009/10,2009/10/7,,"7,589"
TX200911 台指 2009/11,2009/10/7,,"7,562"
TX200912 台指 2009/12,2009/10/7,,"7,539"
TX201003 台指 2010/03,2009/10/7,,"7,475"
TX201006 台指 2010/06,2009/10/7,,"7,433"
Y9999 加權指數,2009/10/6,"7,536.05",
TX200910 台指 2009/10,2009/10/6,,"7,506"
TX200911 台指 2009/11,2009/10/6,,"7,475"
TX200912 台指 2009/12,2009/10/6,,"7,452"
TX201003 台指 2010/03,2009/10/6,,"7,409"
TX201006 台指 2010/06,2009/10/6,,"7,349"
Y9999 加權指數,2009/10/5,"7,437.98",
TX200910 台指 2009/10,2009/10/5,,"7,392"
TX200911 台指 2009/11,2009/10/5,,"7,373"
TX200912 台指 2009/12,2009/10/5,,"7,351"
TX201003 台指 2010/03,2009/10/5,,"7,295"
TX201006 台指 2010/06,2009/10/5,,"7,253"
Y9999 加權指數,2009/10/2,"7,411.88",
TX200910 台指 2009/10,2009/10/2,,"7,352"
TX200911 台指 2009/11,2009/10/2,,"7,335"
TX200912 台指 2009/12,2009/10/2,,"7,315"
TX201003 台指 2010/03,2009/10/2,,"7,271"
TX201006 台指 2010/06,2009/10/2,,"7,229"
Y9999 加權指數,2009/10/1,"7,545.29",
TX200910 台指 2009/10,2009/10/1,,"7,538"
TX200911 台指 2009/11,2009/10/1,,"7,519"
TX200912 台指 2009/12,2009/10/1,,"7,504"
TX201003 台指 2010/03,2009/10/1,,"7,443"
TX201006 台指 2010/06,2009/10/1,,"7,407"
Y9999 加權指數,2009/9/30,"7,509.17",
TX200910 台指 2009/10,2009/9/30,,"7,493"
TX200911 台指 2009/11,2009/9/30,,"7,474"
TX200912 台指 2009/12,2009/9/30,,"7,457"
TX201003 台指 2010/03,2009/9/30,,"7,395"
TX201006 台指 2010/06,2009/9/30,,"7,354"
Y9999 加權指數,2009/9/29,"7,429.98",
TX200910 台指 2009/10,2009/9/29,,"7,405"
TX200911 台指 2009/11,2009/9/29,,"7,389"
TX200912 台指 2009/12,2009/9/29,,"7,372"
TX201003 台指 2010/03,2009/9/29,,"7,315"
TX201006 台指 2010/06,2009/9/29,,"7,275"
Y9999 加權指數,2009/9/28,"7,284.61",
TX200910 台指 2009/10,2009/9/28,,"7,280"
TX200911 台指 2009/11,2009/9/28,,"7,264"
TX200912 台指 2009/12,2009/9/28,,"7,250"
TX201003 台指 2010/03,2009/9/28,,"7,200"
TX201006 台指 2010/06,2009/9/28,,"7,160"
Y9999 加權指數,2009/9/25,"7,345.22",
TX200910 台指 2009/10,2009/9/25,,"7,338"
TX200911 台指 2009/11,2009/9/25,,"7,320"
TX200912 台指 2009/12,2009/9/25,,"7,303"
TX201003 台指 2010/03,2009/9/25,,"7,254"
TX201006 台指 2010/06,2009/9/25,,"7,213"
Y9999 加權指數,2009/9/24,"7,324.22",
TX200910 台指 2009/10,2009/9/24,,"7,295"
TX200911 台指 2009/11,2009/9/24,,"7,282"
TX200912 台指 2009/12,2009/9/24,,"7,268"
TX201003 台指 2010/03,2009/9/24,,"7,221"
TX201006 台指 2010/06,2009/9/24,,"7,184"
Y9999 加權指數,2009/9/23,"7,376.76",
TX200910 台指 2009/10,2009/9/23,,"7,347"
TX200911 台指 2009/11,2009/9/23,,"7,332"
TX200912 台指 2009/12,2009/9/23,,"7,323"
TX201003 台指 2010/03,2009/9/23,,"7,282"
TX201006 台指 2010/06,2009/9/23,,"7,251"
Y9999 加權指數,2009/9/22,"7,469.03",
TX200910 台指 2009/10,2009/9/22,,"7,454"
TX200911 台指 2009/11,2009/9/22,,"7,437"
TX200912 台指 2009/12,2009/9/22,,"7,423"
TX201003 台指 2010/03,2009/9/22,,"7,398"
TX201006 台指 2010/06,2009/9/22,,"7,323"
Y9999 加權指數,2009/9/21,"7,502.46",
TX200910 台指 2009/10,2009/9/21,,"7,466"
TX200911 台指 2009/11,2009/9/21,,"7,447"
TX200912 台指 2009/12,2009/9/21,,"7,436"
TX201003 台指 2010/03,2009/9/21,,"7,397"
TX201006 台指 2010/06,2009/9/21,,"7,327"
Y9999 加權指數,2009/9/18,"7,526.55",
TX200910 台指 2009/10,2009/9/18,,"7,467"
TX200911 台指 2009/11,2009/9/18,,"7,447"
TX200912 台指 2009/12,2009/9/18,,"7,436"
TX201003 台指 2010/03,2009/9/18,,"7,410"
TX201006 台指 2010/06,2009/9/18,,"7,326"
Y9999 加權指數,2009/9/17,"7,477.30",
TX200910 台指 2009/10,2009/9/17,,"7,466"
TX200911 台指 2009/11,2009/9/17,,"7,454"
TX200912 台指 2009/12,2009/9/17,,"7,432"
TX201003 台指 2010/03,2009/9/17,,"7,380"
TX201006 台指 2010/06,2009/9/17,,"7,324"
Y9999 加權指數,2009/9/16,"7,440.24",
TX200909 台指 2009/09,2009/9/16,,"7,444"
TX200910 台指 2009/10,2009/9/16,,"7,450"
TX200912 台指 2009/12,2009/9/16,,"7,416"
TX201003 台指 2010/03,2009/9/16,,"7,345"
TX201006 台指 2010/06,2009/9/16,,"7,297"
Y9999 加權指數,2009/9/15,"7,346.26",
TX200909 台指 2009/09,2009/9/15,,"7,357"
TX200910 台指 2009/10,2009/9/15,,"7,338"
TX200912 台指 2009/12,2009/9/15,,"7,301"
TX201003 台指 2010/03,2009/9/15,,"7,229"
TX201006 台指 2010/06,2009/9/15,,"7,158"
Y9999 加權指數,2009/9/14,"7,256.95",
TX200909 台指 2009/09,2009/9/14,,"7,252"
TX200910 台指 2009/10,2009/9/14,,"7,233"
TX200912 台指 2009/12,2009/9/14,,"7,189"
TX201003 台指 2010/03,2009/9/14,,"7,140"
TX201006 台指 2010/06,2009/9/14,,"7,100"
Y9999 加權指數,2009/9/11,"7,337.14",
TX200909 台指 2009/09,2009/9/11,,"7,353"
TX200910 台指 2009/10,2009/9/11,,"7,333"
TX200912 台指 2009/12,2009/9/11,,"7,278"
TX201003 台指 2010/03,2009/9/11,,"7,220"
TX201006 台指 2010/06,2009/9/11,,"7,170"
Y9999 加權指數,2009/9/10,"7,332.08",
TX200909 台指 2009/09,2009/9/10,,"7,360"
TX200910 台指 2009/10,2009/9/10,,"7,341"
TX200912 台指 2009/12,2009/9/10,,"7,292"
TX201003 台指 2010/03,2009/9/10,,"7,223"
TX201006 台指 2010/06,2009/9/10,,"7,194"
Y9999 加權指數,2009/9/9,"7,250.72",
TX200909 台指 2009/09,2009/9/9,,"7,257"
TX200910 台指 2009/10,2009/9/9,,"7,233"
TX200912 台指 2009/12,2009/9/9,,"7,177"
TX201003 台指 2010/03,2009/9/9,,"7,140"
TX201006 台指 2010/06,2009/9/9,,"7,069"
Y9999 加權指數,2009/9/8,"7,313.99",
TX200909 台指 2009/09,2009/9/8,,"7,316"
TX200910 台指 2009/10,2009/9/8,,"7,290"
TX200912 台指 2009/12,2009/9/8,,"7,241"
TX201003 台指 2010/03,2009/9/8,,"7,191"
TX201006 台指 2010/06,2009/9/8,,"7,135"
Y9999 加權指數,2009/9/7,"7,224.59",
TX200909 台指 2009/09,2009/9/7,,"7,221"
TX200910 台指 2009/10,2009/9/7,,"7,193"
TX200912 台指 2009/12,2009/9/7,,"7,148"
TX201003 台指 2010/03,2009/9/7,,"7,078"
TX201006 台指 2010/06,2009/9/7,,"7,036"
Y9999 加權指數,2009/9/4,"7,153.13",
TX200909 台指 2009/09,2009/9/4,,"7,155"
TX200910 台指 2009/10,2009/9/4,,"7,125"
TX200912 台指 2009/12,2009/9/4,,"7,075"
TX201003 台指 2010/03,2009/9/4,,"7,004"
TX201006 台指 2010/06,2009/9/4,,"6,967"
Y9999 加權指數,2009/9/3,"7,104.65",
TX200909 台指 2009/09,2009/9/3,,"7,094"
TX200910 台指 2009/10,2009/9/3,,"7,066"
TX200912 台指 2009/12,2009/9/3,,"7,011"
TX201003 台指 2010/03,2009/9/3,,"6,940"
TX201006 台指 2010/06,2009/9/3,,"6,893"
Y9999 加權指數,2009/9/2,"7,039.77",
TX200909 台指 2009/09,2009/9/2,,"7,026"
TX200910 台指 2009/10,2009/9/2,,"7,000"
TX200912 台指 2009/12,2009/9/2,,"6,947"
TX201003 台指 2010/03,2009/9/2,,"6,893"
TX201006 台指 2010/06,2009/9/2,,"6,845"
Y9999 加權指數,2009/9/1,"7,019.75",
TX200909 台指 2009/09,2009/9/1,,"7,027"
TX200910 台指 2009/10,2009/9/1,,"6,997"
TX200912 台指 2009/12,2009/9/1,,"6,942"
TX201003 台指 2010/03,2009/9/1,,"6,892"
TX201006 台指 2010/06,2009/9/1,,"6,839"
Y9999 加權指數,2009/8/31,"6,825.95",
TX200909 台指 2009/09,2009/8/31,,"6,756"
TX200910 台指 2009/10,2009/8/31,,"6,730"
TX200912 台指 2009/12,2009/8/31,,"6,689"
TX201003 台指 2010/03,2009/8/31,,"6,629"
TX201006 台指 2010/06,2009/8/31,,"6,555"
Y9999 加權指數,2009/8/28,"6,809.86",
TX200909 台指 2009/09,2009/8/28,,"6,754"
TX200910 台指 2009/10,2009/8/28,,"6,730"
TX200912 台指 2009/12,2009/8/28,,"6,678"
TX201003 台指 2010/03,2009/8/28,,"6,618"
TX201006 台指 2010/06,2009/8/28,,"6,540"
Y9999 加權指數,2009/8/27,"6,690.75",
TX200909 台指 2009/09,2009/8/27,,"6,645"
TX200910 台指 2009/10,2009/8/27,,"6,615"
TX200912 台指 2009/12,2009/8/27,,"6,593"
TX201003 台指 2010/03,2009/8/27,,"6,529"
TX201006 台指 2010/06,2009/8/27,,"6,503"
Y9999 加權指數,2009/8/26,"6,719.21",
TX200909 台指 2009/09,2009/8/26,,"6,703"
TX200910 台指 2009/10,2009/8/26,,"6,675"
TX200912 台指 2009/12,2009/8/26,,"6,614"
TX201003 台指 2010/03,2009/8/26,,"6,556"
TX201006 台指 2010/06,2009/8/26,,"6,527"
Y9999 加權指數,2009/8/25,"6,809.41",
TX200909 台指 2009/09,2009/8/25,,"6,760"
TX200910 台指 2009/10,2009/8/25,,"6,730"
TX200912 台指 2009/12,2009/8/25,,"6,685"
TX201003 台指 2010/03,2009/8/25,,"6,625"
TX201006 台指 2010/06,2009/8/25,,"6,611"
Y9999 加權指數,2009/8/24,"6,838.25",
TX200909 台指 2009/09,2009/8/24,,"6,808"
TX200910 台指 2009/10,2009/8/24,,"6,767"
TX200912 台指 2009/12,2009/8/24,,"6,732"
TX201003 台指 2010/03,2009/8/24,,"6,657"
TX201006 台指 2010/06,2009/8/24,,"6,632"
Y9999 加權指數,2009/8/21,"6,654.80",
TX200909 台指 2009/09,2009/8/21,,"6,592"
TX200910 台指 2009/10,2009/8/21,,"6,567"
TX200912 台指 2009/12,2009/8/21,,"6,524"
TX201003 台指 2010/03,2009/8/21,,"6,461"
TX201006 台指 2010/06,2009/8/21,,"6,420"
Y9999 加權指數,2009/8/20,"6,733.23",
TX200909 台指 2009/09,2009/8/20,,"6,693"
TX200910 台指 2009/10,2009/8/20,,"6,661"
TX200912 台指 2009/12,2009/8/20,,"6,611"
TX201003 台指 2010/03,2009/8/20,,"6,551"
TX201006 台指 2010/06,2009/8/20,,"6,510"
Y9999 加權指數,2009/8/19,"6,788.58",
TX200908 台指 2009/08,2009/8/19,,"6,795"
TX200909 台指 2009/09,2009/8/19,,"6,690"
TX200912 台指 2009/12,2009/8/19,,"6,649"
TX201003 台指 2010/03,2009/8/19,,"6,591"
TX201006 台指 2010/06,2009/8/19,,"6,547"
Y9999 加權指數,2009/8/18,"6,789.77",
TX200908 台指 2009/08,2009/8/18,,"6,817"
TX200909 台指 2009/09,2009/8/18,,"6,781"
TX200912 台指 2009/12,2009/8/18,,"6,724"
TX201003 台指 2010/03,2009/8/18,,"6,678"
TX201006 台指 2010/06,2009/8/18,,"6,621"
Y9999 加權指數,2009/8/17,"6,931.80",
TX200908 台指 2009/08,2009/8/17,,"6,914"
TX200909 台指 2009/09,2009/8/17,,"6,887"
TX200912 台指 2009/12,2009/8/17,,"6,823"
TX201003 台指 2010/03,2009/8/17,,"6,782"
TX201006 台指 2010/06,2009/8/17,,"6,743"
Y9999 加權指數,2009/8/14,"7,069.51",
TX200908 台指 2009/08,2009/8/14,,"7,063"
TX200909 台指 2009/09,2009/8/14,,"7,025"
TX200912 台指 2009/12,2009/8/14,,"6,964"
TX201003 台指 2010/03,2009/8/14,,"6,920"
TX201006 台指 2010/06,2009/8/14,,"6,850"
Y9999 加權指數,2009/8/13,"7,034.96",
TX200908 台指 2009/08,2009/8/13,,"7,013"
TX200909 台指 2009/09,2009/8/13,,"6,979"
TX200912 台指 2009/12,2009/8/13,,"6,905"
TX201003 台指 2010/03,2009/8/13,,"6,854"
TX201006 台指 2010/06,2009/8/13,,"6,818"
Y9999 加權指數,2009/8/12,"6,898.90",
TX200908 台指 2009/08,2009/8/12,,"6,839"
TX200909 台指 2009/09,2009/8/12,,"6,801"
TX200912 台指 2009/12,2009/8/12,,"6,760"
TX201003 台指 2010/03,2009/8/12,,"6,726"
TX201006 台指 2010/06,2009/8/12,,"6,669"
Y9999 加權指數,2009/8/11,"6,909.02",
TX200908 台指 2009/08,2009/8/11,,"6,895"
TX200909 台指 2009/09,2009/8/11,,"6,855"
TX200912 台指 2009/12,2009/8/11,,"6,768"
TX201003 台指 2010/03,2009/8/11,,"6,718"
TX201006 台指 2010/06,2009/8/11,,"6,678"
Y9999 加權指數,2009/8/10,"6,882.87",
TX200908 台指 2009/08,2009/8/10,,"6,814"
TX200909 台指 2009/09,2009/8/10,,"6,779"
TX200912 台指 2009/12,2009/8/10,,"6,715"
TX201003 台指 2010/03,2009/8/10,,"6,672"
TX201006 台指 2010/06,2009/8/10,,"6,616"
Y9999 加權指數,2009/8/6,"6,868.65",
TX200908 台指 2009/08,2009/8/6,,"6,803"
TX200909 台指 2009/09,2009/8/6,,"6,764"
TX200912 台指 2009/12,2009/8/6,,"6,700"
TX201003 台指 2010/03,2009/8/6,,"6,666"
TX201006 台指 2010/06,2009/8/6,,"6,610"
Y9999 加權指數,2009/8/5,"6,848.24",
TX200908 台指 2009/08,2009/8/5,,"6,772"
TX200909 台指 2009/09,2009/8/5,,"6,732"
TX200912 台指 2009/12,2009/8/5,,"6,673"
TX201003 台指 2010/03,2009/8/5,,"6,640"
TX201006 台指 2010/06,2009/8/5,,"6,592"
Y9999 加權指數,2009/8/4,"6,955.87",
TX200908 台指 2009/08,2009/8/4,,"6,881"
TX200909 台指 2009/09,2009/8/4,,"6,843"
TX200912 台指 2009/12,2009/8/4,,"6,784"
TX201003 台指 2010/03,2009/8/4,,"6,757"
TX201006 台指 2010/06,2009/8/4,,"6,703"
Y9999 加權指數,2009/8/3,"7,056.71",
TX200908 台指 2009/08,2009/8/3,,"6,982"
TX200909 台指 2009/09,2009/8/3,,"6,943"
TX200912 台指 2009/12,2009/8/3,,"6,888"
TX201003 台指 2010/03,2009/8/3,,"6,845"
TX201006 台指 2010/06,2009/8/3,,"6,760"
Y9999 加權指數,2009/7/31,"7,077.71",
TX200908 台指 2009/08,2009/7/31,,"7,028"
TX200909 台指 2009/09,2009/7/31,,"6,993"
TX200912 台指 2009/12,2009/7/31,,"6,918"
TX201003 台指 2010/03,2009/7/31,,"6,893"
TX201006 台指 2010/06,2009/7/31,,"6,841"
Y9999 加權指數,2009/7/30,"7,027.11",
TX200908 台指 2009/08,2009/7/30,,"6,963"
TX200909 台指 2009/09,2009/7/30,,"6,928"
TX200912 台指 2009/12,2009/7/30,,"6,860"
TX201003 台指 2010/03,2009/7/30,,"6,822"
TX201006 台指 2010/06,2009/7/30,,"6,770"
Y9999 加權指數,2009/7/29,"7,083.63",
TX200908 台指 2009/08,2009/7/29,,"7,037"
TX200909 台指 2009/09,2009/7/29,,"6,998"
TX200912 台指 2009/12,2009/7/29,,"6,926"
TX201003 台指 2010/03,2009/7/29,,"6,894"
TX201006 台指 2010/06,2009/7/29,,"6,838"
Y9999 加權指數,2009/7/28,"7,142.63",
TX200908 台指 2009/08,2009/7/28,,"7,080"
TX200909 台指 2009/09,2009/7/28,,"7,041"
TX200912 台指 2009/12,2009/7/28,,"6,972"
TX201003 台指 2010/03,2009/7/28,,"6,931"
TX201006 台指 2010/06,2009/7/28,,"6,870"
Y9999 加權指數,2009/7/27,"7,028.43",
TX200908 台指 2009/08,2009/7/27,,"6,967"
TX200909 台指 2009/09,2009/7/27,,"6,931"
TX200912 台指 2009/12,2009/7/27,,"6,865"
TX201003 台指 2010/03,2009/7/27,,"6,827"
TX201006 台指 2010/06,2009/7/27,,"6,777"
Y9999 加權指數,2009/7/24,"6,973.28",
TX200908 台指 2009/08,2009/7/24,,"6,897"
TX200909 台指 2009/09,2009/7/24,,"6,862"
TX200912 台指 2009/12,2009/7/24,,"6,799"
TX201003 台指 2010/03,2009/7/24,,"6,748"
TX201006 台指 2010/06,2009/7/24,,"6,694"
Y9999 加權指數,2009/7/23,"6,980.88",
TX200908 台指 2009/08,2009/7/23,,"6,881"
TX200909 台指 2009/09,2009/7/23,,"6,845"
TX200912 台指 2009/12,2009/7/23,,"6,783"
TX201003 台指 2010/03,2009/7/23,,"6,790"
TX201006 台指 2010/06,2009/7/23,,"6,703"
Y9999 加權指數,2009/7/22,"6,985.32",
TX200908 台指 2009/08,2009/7/22,,"6,885"
TX200909 台指 2009/09,2009/7/22,,"6,854"
TX200912 台指 2009/12,2009/7/22,,"6,791"
TX201003 台指 2010/03,2009/7/22,,"6,744"
TX201006 台指 2010/06,2009/7/22,,"6,720"
Y9999 加權指數,2009/7/21,"6,953.34",
TX200908 台指 2009/08,2009/7/21,,"6,874"
TX200909 台指 2009/09,2009/7/21,,"6,840"
TX200912 台指 2009/12,2009/7/21,,"6,768"
TX201003 台指 2010/03,2009/7/21,,"6,730"
TX201006 台指 2010/06,2009/7/21,,"6,692"
Y9999 加權指數,2009/7/20,"6,938.86",
TX200908 台指 2009/08,2009/7/20,,"6,859"
TX200909 台指 2009/09,2009/7/20,,"6,823"
TX200912 台指 2009/12,2009/7/20,,"6,740"
TX201003 台指 2010/03,2009/7/20,,"6,709"
TX201006 台指 2010/06,2009/7/20,,"6,670"
Y9999 加權指數,2009/7/17,"6,850.99",
TX200908 台指 2009/08,2009/7/17,,"6,756"
TX200909 台指 2009/09,2009/7/17,,"6,721"
TX200912 台指 2009/12,2009/7/17,,"6,656"
TX201003 台指 2010/03,2009/7/17,,"6,625"
TX201006 台指 2010/06,2009/7/17,,"6,572"
Y9999 加權指數,2009/7/16,"6,780.30",
TX200908 台指 2009/08,2009/7/16,,"6,709"
TX200909 台指 2009/09,2009/7/16,,"6,672"
TX200912 台指 2009/12,2009/7/16,,"6,597"
TX201003 台指 2010/03,2009/7/16,,"6,549"
TX201006 台指 2010/06,2009/7/16,,"6,518"
Y9999 加權指數,2009/7/15,"6,738.60",
TX200907 台指 2009/07,2009/7/15,,"6,763"
TX200908 台指 2009/08,2009/7/15,,"6,645"
TX200909 台指 2009/09,2009/7/15,,"6,601"
TX200912 台指 2009/12,2009/7/15,,"6,557"
TX201003 台指 2010/03,2009/7/15,,"6,515"
Y9999 加權指數,2009/7/14,"6,639.41",
TX200907 台指 2009/07,2009/7/14,,"6,580"
TX200908 台指 2009/08,2009/7/14,,"6,488"
TX200909 台指 2009/09,2009/7/14,,"6,453"
TX200912 台指 2009/12,2009/7/14,,"6,388"
